clade_name,A23,A24,A25,A26,A27,A28,A29,A30,A31
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens|t__SGB15126,0.6551,0.28807,0.99417,0.09756,0,0,0.00807,0,0
k__Bacteria|p__Firmicutes|c__CFGB355|o__OFGB355|f__FGB355|g__GGB794|s__GGB794_SGB1037|t__SGB1037,0.03198,0.24459,0.00162,0,0.00677,0.64756,0.1733,0.18831,0.734
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB4909|t__SGB4909,0,0,0,0,1.96484,0.01942,0,0.01975,0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__SGB17241,0,0,0,0,1.95966,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3216|s__GGB3216_SGB4248|t__SGB4248,0,0,0,1.72183,0,0.03675,0,0.17255,0.00838
k__Bacteria|p__Bacteroidetes|c__CFGB4385|o__OFGB4385|f__FGB4385|g__GGB33217|s__GGB33217_SGB48201|t__SGB48201,0,0,0.03423,0.46816,0.26881,0.12923,0.01796,1.01712,0
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989|g__GGB9712|s__GGB9712_SGB15242|t__SGB15242,0.00054,0.10496,0.21422,0.35146,0.13332,0.24529,0.09164,0.07093,0.71833
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB33085|s__GGB33085_SGB1671|t__SGB1671,0,0.01421,0.52131,0.08351,0.26393,0.47706,0.34204,0.21326,0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema|s__Treponema_succinifaciens|t__SGB3546,0,0,0.0014,0.54972,1.18186,0,0.1008,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AM16_25|t__SGB4957,0,0,0,0.00033,0.59909,1.03333,0.00027,0.1683,0.02078
k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833|f__FGB2833|g__GGB13349|s__GGB13349_SGB13960|t__SGB13960,0,0.03217,0,0.10793,0.01135,0,0.3912,0.13103,1.13003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_P4_51|t__SGB1666,0.01848,0.0033,0.12512,0.05721,0.13416,0.91041,0,0,0.5389
k__Bacteria|p__Firmicutes|c__CFGB9977|o__OFGB9977|f__FGB9977|g__GGB9606|s__GGB9606_SGB15038|t__SGB15038,0,0,0,0,0.01652,0.485,0,0.13843,1.11793
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9673|s__GGB9673_SGB15172|t__SGB15172,0,0,0,0,0.03721,0.18889,1.50479,0.00655,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae|t__SGB4831,0,0,0,0.00424,0.60244,1.12658,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_salivarius|t__SGB7082,1.5054,0.01748,0.00319,0.02346,0.0711,0,0.02709,0,0.08181
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_SGB15290|t__SGB15290,0,0,0,0,0,0,1.51155,0.18665,0.02371
k__Bacteria|p__Bacteroidetes|c__CFGB7603|o__OFGB7603|f__FGB7603|g__GGB33753|s__GGB33753_SGB49927|t__SGB49927,0.3748,0.06717,0.88462,0.12878,0.26033,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB24831|s__GGB24831_SGB36726|t__SGB36726,0,0,0,1.6551,0,0.02635,0,0,0
k__Bacteria|p__Bacteroidetes|c__CFGB72486|o__OFGB72486|f__FGB72486|g__GGB1633|s__GGB1633_SGB2241|t__SGB2241,1.44087,0,0,0.11458,0.00716,0.01054,0.06753,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB5112|t__SGB5112,0,0,0,0,0.60135,1.02904,0,0.0029,0
